City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
1687186,Sarangani,PH,5.4033,125.4636,83.32,73,21,18.77
2138285,Tadine,NC,-21.55,167.8833,76.98,71,97,23.15
3985797,San Julián,MX,21.0167,-102.1667,86.0,50,32,15.37
778707,Mehamn,NO,71.0357,27.8492,30.02,72,94,12.97
3359638,Walvis Bay,NA,-22.9575,14.5053,59.0,67,7,2.3
287832,Ibrā’,OM,22.6906,58.5334,73.56,61,0,2.35
1116760,Don Sak,TH,9.3168,99.6918,82.24,100,20,6.11
156493,Kongwa,TZ,-6.2,36.4167,64.02,97,100,2.84
3843123,Neuquén,AR,-38.9516,-68.0591,57.2,72,90,6.91
292672,Sharjah city,AE,25.3573,55.4033,79.81,73,0,4.61
1337619,Ugoofaaru,MV,5.6667,73.0,83.61,71,57,4.63
2214432,Nālūt,LY,30.3333,10.85,76.19,31,100,16.15
2412408,Nioro,GM,13.35,-15.75,79.16,33,2,10.07
3899695,Ancud,CL,-41.8697,-73.8203,48.56,82,0,9.22
3393536,Olinda,BR,-8.0089,-34.8553,73.4,83,40,4.61
632370,Varkaus,FI,62.3153,27.873,29.84,80,0,2.3
2129766,Kamiiso,JP,41.8167,140.65,46.4,71,75,8.05
286621,Salalah,OM,17.0151,54.0924,84.2,79,0,3.44
1819729,Hong Kong,HK,22.2855,114.1577,77.25,89,82,1.01
2123100,Myaundzha,RU,63.0494,147.1858,32.41,95,100,3.29
3839307,Rawson,AR,-43.3002,-65.1023,60.28,55,100,10.29
589663,Paldiski,EE,59.3567,24.0531,33.75,60,0,12.66
359792,Aswān,EG,24.0934,32.907,83.16,15,0,10.25
2156643,Mount Gambier,AU,-37.8333,140.7667,64.4,72,40,14.97
5557293,Sitka,US,57.0531,-135.33,46.4,71,40,9.22
1263752,Māngrol,IN,21.1167,70.1167,82.31,68,100,8.79
1160939,Iranshahr,IR,27.2025,60.6848,69.8,83,75,4.61
2094027,Kieta,PG,-6.2167,155.6333,85.51,68,100,3.13
1861280,Itoman,JP,26.1247,127.6694,74.05,60,0,10.36
2294915,Takoradze,GH,4.8845,-1.7554,80.73,82,100,6.04
3456137,Nova Olímpia,BR,-14.7972,-57.2881,76.93,73,99,2.35
373303,Juba,SS,4.8517,31.5825,71.83,86,84,2.95
2381334,Atar,MR,20.5169,-13.0499,81.82,19,8,4.88
1791779,Wanning,CN,18.8003,110.3967,82.98,74,99,6.98
6324729,Halifax,CA,44.6453,-63.5724,46.63,61,9,3.44
4944903,Nantucket,US,41.2835,-70.0995,50.97,71,1,9.22
2112444,Kamaishi,JP,39.2667,141.8833,44.6,100,75,12.66
4989266,Coldwater,US,41.9403,-85.0005,67.5,45,1,16.11
3401148,Cururupu,BR,-1.8283,-44.8683,72.81,95,85,1.7
3421719,Narsaq,GL,60.9167,-46.05,44.6,24,20,37.98
6137689,Saint-Donat-de-Montcalm,CA,46.3187,-74.2219,46.4,49,100,4.61
3440777,Rocha,UY,-34.4833,-54.3333,58.8,92,0,5.32
4708308,Lufkin,US,31.3382,-94.7291,69.87,94,90,9.22
1855540,Naze,JP,28.3667,129.4833,69.8,56,75,5.75
2168305,Dubbo,AU,-32.25,148.6167,64.4,68,90,8.05
1785036,Zhangye,CN,38.9342,100.4517,63.55,31,100,9.6
1790371,Xiantao,CN,30.3833,113.4,78.35,63,79,10.58
5024719,Duluth,US,46.7833,-92.1066,68.23,58,1,11.5
3438102,Fuerte Olimpo,PY,-21.0415,-57.8738,73.47,50,0,5.28
102527,Sakakah,SA,29.9697,40.2064,73.4,16,0,8.05
80509,Al Bardīyah,LY,31.7561,25.0865,79.36,26,5,5.91
2991771,Arrondissement de Morlaix,FR,48.5833,-4.0,38.57,75,75,5.75
5861897,Fairbanks,US,64.8378,-147.7164,41.68,39,40,1.14
2098329,Daru,PG,-9.0763,143.2092,81.7,79,6,13.0
5855051,‘Ewa Beach,US,21.3156,-158.0072,82.06,48,40,19.57
1787746,Yancheng,CN,33.3856,120.1253,59.38,41,0,13.15
5554072,Juneau,US,58.3019,-134.4197,46.38,50,75,3.44
3347019,Mossamedes,AO,-15.1961,12.1522,76.5,78,1,4.43
1153464,Dok Kham Tai,TH,19.1624,99.9934,82.0,67,25,1.59
524243,Murygino,RU,58.7383,49.4582,32.9,90,7,4.43
1258698,Rameswaram,IN,9.2833,79.3,84.06,71,10,3.0
3924895,Plácido de Castro,BR,-10.3353,-67.1856,77.58,75,100,2.08
1637001,Luwuk,ID,-0.9516,122.7875,84.06,70,100,3.71
